542905	4.0
542904	5.0
542903	4.0
542902	4.0
542909	5.0
542908	5.0
542907	4.0
542906	4.0
542901	5.0
542900	5.0
542929	5.0
542928	5.0
542927	5.0
542926	5.0
542925	5.0
542924	5.0
542923	5.0
542922	5.0
542921	3.0
542920	5.0
542918	5.0
542917	4.0
542919	5.0
542914	5.0
542913	4.0
542916	4.0
542915	4.0
542910	5.0
542912	5.0
542911	5.0
542933	5.0
542934	5.0
542931	5.0
542932	5.0
542930	5.0
542939	5.0
542937	5.0
542938	5.0
542935	3.0
542936	5.0
542942	5.0
542943	5.0
542944	5.0
542945	4.0
542940	3.0
542941	5.0
542946	4.0
542947	5.0
542948	4.0
542949	4.0
542951	4.0
542952	4.0
542950	4.0
542955	4.0
542956	5.0
542953	4.0
542954	4.0
542959	5.0
542957	5.0
542958	5.0
542970	5.0
542960	5.0
542961	4.0
542962	4.0
542963	5.0
542964	5.0
542965	4.0
542966	3.0
542967	5.0
542968	5.0
542969	5.0
542980	4.0
542981	5.0
542979	5.0
542978	5.0
542977	5.0
542976	5.0
542975	5.0
542974	4.0
542973	5.0
542972	5.0
542971	4.0
542990	5.0
542991	5.0
542992	5.0
542987	5.0
542986	5.0
542989	5.0
542988	5.0
542983	3.0
542982	4.0
542985	3.0
542984	4.0
542996	5.0
542995	5.0
542994	5.0
542993	5.0
542999	5.0
542998	5.0
542997	5.0
542802	5.0
542801	5.0
542800	4.0
542809	4.0
542808	5.0
542807	5.0
542806	5.0
542805	5.0
542804	5.0
542803	5.0
542838	4.0
542839	5.0
542836	5.0
542837	5.0
542830	5.0
542831	5.0
542834	5.0
542835	5.0
542832	5.0
542833	4.0
542847	5.0
542848	5.0
542849	5.0
542840	4.0
542841	5.0
542842	4.0
542843	5.0
542844	5.0
542845	5.0
542846	5.0
542818	5.0
542819	5.0
542816	4.0
542817	3.0
542814	5.0
542815	5.0
542812	4.0
542813	2.0
542810	5.0
542811	5.0
542829	4.0
542825	5.0
542826	5.0
542827	5.0
542828	4.0
542821	4.0
542822	4.0
542823	4.0
542824	4.0
542820	5.0
542881	5.0
542882	4.0
542880	5.0
